wall_time,sim_time,frame,dt,steer_raw,steer_cmd,throttle,brake,reverse,speed_kmh,loc_x,loc_y,loc_z,yaw,cte,heading_err_deg,lane_width,curvature,on_junction,kss,sleep_hours,session_type,input_device,event_flag
1781527290.305389,54.6114,1463367,0.0500,0.23814,0.23814,0.0000,0.0000,0,1.764,202.874,-356.375,0.467,91.314,-0.0002,0.000,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.356061,54.6614,1463368,0.0500,0.23338,0.23338,0.0000,0.0000,0,3.528,202.874,-356.375,0.428,91.314,-0.0002,0.000,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.463718,54.7114,1463369,0.0500,0.22871,0.22871,0.0000,0.0000,0,5.292,202.874,-356.375,0.364,91.314,-0.0002,0.000,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.526750,54.7614,1463370,0.0500,0.22414,0.22414,0.0000,0.0000,0,7.056,202.874,-356.375,0.276,91.314,-0.0002,0.000,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.577002,54.8114,1463371,0.0500,0.21965,0.21965,0.0000,0.0000,0,8.820,202.874,-356.375,0.163,91.314,-0.0002,0.000,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.628058,54.8614,1463372,0.0500,0.21526,0.21526,0.0000,0.0000,0,7.164,202.875,-356.374,0.040,91.314,-0.0003,-0.000,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.677989,54.9114,1463373,0.0500,0.21095,0.21095,0.0000,0.0000,0,2.743,202.875,-356.372,-0.020,91.312,-0.0010,-0.002,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.729200,54.9614,1463374,0.0500,0.20674,0.20674,0.0000,0.0000,0,0.623,202.875,-356.372,-0.039,91.311,-0.0012,-0.003,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.780237,55.0114,1463375,0.0500,0.20260,0.20260,0.0000,0.0000,0,0.298,202.875,-356.372,-0.039,91.311,-0.0012,-0.003,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.829767,55.0614,1463376,0.0500,0.19855,0.19855,0.0000,0.0000,0,0.619,202.875,-356.372,-0.031,91.312,-0.0011,-0.003,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.879810,55.1114,1463377,0.0500,0.19458,0.19458,0.0000,0.0000,0,0.660,202.875,-356.372,-0.022,91.312,-0.0010,-0.002,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.930344,55.1614,1463378,0.0500,0.19069,0.19069,0.0000,0.0000,0,0.585,202.875,-356.372,-0.013,91.312,-0.0009,-0.002,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527290.980906,55.2114,1463379,0.0500,0.18687,0.18687,0.0000,0.0000,0,0.474,202.875,-356.372,-0.006,91.313,-0.0008,-0.002,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.031421,55.2614,1463380,0.0500,0.18313,0.18313,0.0000,0.0000,0,0.365,202.875,-356.372,-0.001,91.313,-0.0007,-0.002,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.081974,55.3114,1463381,0.0500,0.17947,0.17947,0.0000,0.0000,0,0.271,202.875,-356.372,0.004,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.132573,55.3614,1463382,0.0500,0.17588,0.17588,0.0000,0.0000,0,0.197,202.875,-356.372,0.007,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.183107,55.4114,1463383,0.0500,0.17237,0.17237,0.0000,0.0000,0,0.140,202.875,-356.372,0.009,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.232725,55.4614,1463384,0.0500,0.16892,0.16892,0.0000,0.0000,0,0.099,202.875,-356.372,0.011,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.284260,55.5114,1463385,0.0500,0.16554,0.16554,0.0000,0.0000,0,0.069,202.875,-356.372,0.012,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.334305,55.5614,1463386,0.0500,0.16223,0.16223,0.0000,0.0000,0,0.047,202.875,-356.372,0.013,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.384807,55.6114,1463387,0.0500,0.15898,0.15898,0.0000,0.0000,0,0.032,202.875,-356.372,0.013,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.434847,55.6614,1463388,0.0500,0.15580,0.15580,0.0000,0.0000,0,0.022,202.875,-356.372,0.013,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.485385,55.7114,1463389,0.0500,0.15269,0.15269,0.0000,0.0000,0,0.015,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.535419,55.7614,1463390,0.0500,0.14963,0.14963,0.0000,0.0000,0,0.010,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.585955,55.8114,1463391,0.0500,0.14664,0.14664,0.0000,0.0000,0,0.007,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.636995,55.8614,1463392,0.0500,0.14371,0.14371,0.0000,0.0000,0,0.000,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.686872,55.9114,1463393,0.0500,0.14083,0.14083,0.0000,0.0000,0,0.002,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.737091,55.9614,1463394,0.0500,0.13802,0.13802,0.0000,0.0000,0,0.002,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.788197,56.0114,1463395,0.0500,0.13526,0.13526,0.0000,0.0000,0,0.002,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.837232,56.0614,1463396,0.0500,0.13255,0.13255,0.0000,0.0000,0,0.001,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.888848,56.1114,1463397,0.0500,0.12990,0.12990,0.0000,0.0000,0,0.001,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.938714,56.1614,1463398,0.0500,0.12730,0.12730,0.0000,0.0000,0,0.001,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527291.989511,56.2114,1463399,0.0500,0.12476,0.12476,1.0000,0.0000,0,0.001,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527292.039114,56.2614,1463400,0.0500,0.12226,0.12226,1.0000,0.0000,0,0.000,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527292.088452,56.3114,1463401,0.0500,0.11982,0.11982,1.0000,0.0000,0,0.000,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527292.139492,56.3614,1463402,0.0500,0.11742,0.11742,1.0000,0.0000,0,0.000,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527292.189540,56.4114,1463403,0.0500,0.11507,0.11507,1.0000,0.0000,0,0.000,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527292.240299,56.4614,1463404,0.0500,0.11277,0.11277,1.0000,0.0000,0,0.000,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527292.289829,56.5114,1463405,0.0500,0.11052,0.11052,1.0000,0.0000,0,0.000,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
1781527292.340626,56.5614,1463406,0.0500,0.10831,0.10831,1.0000,0.0000,0,0.000,202.875,-356.372,0.014,91.313,-0.0006,-0.001,3.500,0.0000,1,5,5.0,drowsy,mouse_kb,0
