wall_time,sim_time,frame,dt,steer_raw,steer_cmd,throttle,brake,reverse,speed_kmh,loc_x,loc_y,loc_z,yaw,cte,heading_err_deg,lane_width,curvature,on_junction,kss,sleep_hours,session_type,input_device,event_flag
1781528279.429006,1030.6133,1497641,0.0500,0.00000,0.00000,0.0000,0.0000,0,1.764,11.669,-68.634,0.267,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528279.842192,1030.6633,1497642,0.0500,0.00000,0.00000,0.0000,0.0000,0,3.528,11.669,-68.634,0.228,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528279.899750,1030.7133,1497643,0.0500,0.00000,0.00000,0.0000,0.0000,0,5.292,11.669,-68.634,0.164,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528279.965361,1030.7633,1497644,0.0500,0.00000,0.00000,0.0000,0.0000,0,7.056,11.669,-68.634,0.076,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.016405,1030.8133,1497645,0.0500,0.00000,0.00000,0.0000,0.0000,0,3.324,11.669,-68.634,0.010,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.064959,1030.8633,1497646,0.0500,0.00000,0.00000,0.0000,0.0000,0,1.244,11.669,-68.634,-0.017,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.119068,1030.9133,1497647,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.251,11.669,-68.634,-0.025,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.169785,1030.9633,1497648,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.176,11.669,-68.634,-0.025,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.217825,1031.0133,1497649,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.320,11.669,-68.634,-0.021,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.270379,1031.0633,1497650,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.333,11.669,-68.634,-0.016,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.318985,1031.1133,1497651,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.291,11.669,-68.634,-0.012,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.369225,1031.1633,1497652,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.235,11.669,-68.634,-0.008,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.421643,1031.2133,1497653,0.0500,0.00000,0.00000,1.0000,0.0000,0,0.180,11.669,-68.634,-0.005,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
1781528280.471192,1031.2633,1497654,0.0500,0.00000,0.00000,1.0000,0.0000,0,0.133,11.669,-68.634,-0.003,-90.225,0.0000,0.000,3.500,0.0000,1,1,9.0,alert,mouse_kb,0
