session,label,n_samples,steer_sd,steer_range,steer_vel_sd,steer_vel_mean_abs,reversal_rate,hold_fraction,lf_hf_ratio,steering_entropy,max_abs_steer_rate,steer_rate_kurtosis,large_correction_rate
drive_alert_20260615_132532,alert,300,0.07989918319596404,0.35345,0.006637332975110873,0.0032876788768778963,20.0,0.8193979933110368,4.317520613587886,0.3373946275947954,0.041940000000000005,13.185032868494996,0.0
drive_alert_20260615_132532,alert,300,0.04978511738925823,0.24175999999999997,0.0045836431648159474,0.002390642995624515,36.0,0.8762541806020067,6.84565986932046,0.34133167244450396,0.024550000000000002,11.38770259355568,0.0
drive_alert_20260615_132532,alert,300,0.03759465721343334,0.1271,0.0037342164951323655,0.002027344373228078,40.0,0.8929765886287625,2.509473547397885,0.2954201192092294,0.024239999999999998,13.420346525315768,0.0
drive_alert_20260615_132532,alert,300,0.03707176873595623,0.1271,0.0037125863665523544,0.001933272129578846,28.0,0.8929765886287625,1.7054829368831677,0.3051674617791186,0.024239999999999998,13.746370753097832,0.0
drive_alert_20260615_132532,alert,300,0.039293131864430904,0.16741999999999999,0.004181442702627539,0.0021335624794641904,36.0,0.8762541806020067,1.4766251331226663,0.3621701725823673,0.032679999999999994,16.139458025703316,0.0
drive_alert_20260615_132532,alert,300,0.03939697750351189,0.16741999999999999,0.004568006797003584,0.0023598900316952613,40.0,0.8561872909698997,1.8230423392910213,0.4034920587432807,0.032679999999999994,11.788785694865272,0.0
drive_alert_20260615_132532,alert,300,0.056771855767918426,0.3304,0.012556509005703322,0.004227372461373688,52.0,0.8093645484949833,4.432782088881358,0.45974759380510705,0.13643,70.61225837480531,8.0
drive_alert_20260615_132532,alert,300,0.05684107505679517,0.3304,0.012478050811583702,0.004004577629836913,44.0,0.8260869565217391,0.14466367029597807,0.4127924903101368,0.13643,72.33702462729248,8.0
drive_alert_20260615_132532,alert,300,0.058084264506462216,0.3304,0.012823119875095098,0.004159296416493071,40.0,0.8327759197324415,5.883342587640216,0.41108664550129437,0.13643,66.05986420320706,8.0
drive_alert_20260615_132532,alert,300,0.03446581851238831,0.1771,0.005416803785740024,0.0018899482984221937,24.0,0.919732441471572,0.8185778089807582,0.310118165528938,0.048399999999999985,30.456909835349173,0.0
drive_alert_20260615_132532,alert,300,0.04110078613468225,0.18244,0.005596913451247804,0.0021735048766242334,24.0,0.903010033444816,4.265863978846129,0.3515770210464393,0.04103999999999999,21.608841966022496,0.0
drive_alert_20260615_132532,alert,300,0.03586489553247794,0.15151,0.005531153429133843,0.0020728859255180875,28.0,0.9096989966555183,2.6662813880754195,0.3316856125479271,0.04103999999999999,26.77594833460907,0.0
drive_alert_20260615_132532,alert,300,0.08098419117374425,0.31314,0.006956393278174592,0.0036783095368395197,56.0,0.7792642140468228,2.69888860472768,0.41718928354529256,0.04103999999999999,12.19100954239563,0.0
drive_alert_20260615_132532,alert,300,0.08644786212558025,0.40778000000000003,0.007602970296638905,0.0038450737521386804,64.0,0.782608695652174,3.303001158591569,0.4253157749336488,0.05833,16.868825518710224,0.0
drive_alert_20260615_132532,alert,300,0.06304814892701716,0.26821,0.005179634181141041,0.0028425665786847645,44.0,0.8528428093645485,3.9662939651252045,0.3592394264594465,0.03197,11.22717589992917,0.0
drive_alert_20260615_132532,alert,300,0.0420135260164311,0.19369,0.005961075707482682,0.00282674968819609,36.0,0.8394648829431438,1.171712183157116,0.39616912772827056,0.03197,10.240571056627477,0.0
drive_alert_20260615_132532,alert,300,0.043801778481954615,0.2018,0.00626537168260805,0.003172024634432021,48.0,0.802675585284281,1.490296530097129,0.43797245335531054,0.03197,8.169964387129061,0.0
drive_alert_20260615_132532,alert,300,0.04138341935010526,0.2018,0.005320664472272734,0.002486584583306964,36.0,0.842809364548495,1.5673266029009596,0.357110719811486,0.02908000000000001,8.860062081225886,0.0
drive_alert_20260615_132532,alert,300,0.045648387666111005,0.2018,0.006113601077344415,0.0032418908828455583,44.0,0.802675585284281,1.9766680296538153,0.4138429952838138,0.02908000000000001,6.055803886137543,0.0
drive_alert_20260615_132532,alert,300,0.044051180296092965,0.17781,0.005700359540547532,0.003005533581595723,36.0,0.8160535117056856,2.2945328730661854,0.3808479760964411,0.02738,7.287767262186726,0.0
drive_alert_20260615_132532,alert,300,0.040884988052544015,0.15550999999999998,0.005521536512714233,0.002573598580890958,36.0,0.8528428093645485,0.7273474023301548,0.32780386353763474,0.02738,9.1697768502569,0.0
